id,title,depth,href
16.2.3,From other types,3.0,http://r4ds.had.co.nz/dates-and-times.html#from-other-types
16.2.4,Exercises,3.0,http://r4ds.had.co.nz/dates-and-times.html#exercises-45
16.3,Date-time components,2.0,http://r4ds.had.co.nz/dates-and-times.html#date-time-components
16.3.1,Getting components,3.0,http://r4ds.had.co.nz/dates-and-times.html#getting-components
16.3.2,Rounding,3.0,http://r4ds.had.co.nz/dates-and-times.html#rounding
16.3.3,Setting components,3.0,http://r4ds.had.co.nz/dates-and-times.html#setting-components
16.3.4,Exercises,3.0,http://r4ds.had.co.nz/dates-and-times.html#exercises-46
16.4,Time spans,2.0,http://r4ds.had.co.nz/dates-and-times.html#time-spans
16.4.1,Durations,3.0,http://r4ds.had.co.nz/dates-and-times.html#durations
16.4.2,Periods,3.0,http://r4ds.had.co.nz/dates-and-times.html#periods
16.4.3,Intervals,3.0,http://r4ds.had.co.nz/dates-and-times.html#intervals
16.4.4,Summary,3.0,http://r4ds.had.co.nz/dates-and-times.html#summary-1
16.4.5,Exercises,3.0,http://r4ds.had.co.nz/dates-and-times.html#exercises-47
16.5,Time zones,2.0,http://r4ds.had.co.nz/dates-and-times.html#time-zones
17,Introduction,1.0,http://r4ds.had.co.nz/program-intro.html
17.1,Learning more,2.0,http://r4ds.had.co.nz/program-intro.html#learning-more-1
18,Pipes,1.0,http://r4ds.had.co.nz/pipes.html
18.1,Introduction,2.0,http://r4ds.had.co.nz/pipes.html#introduction-11
18.1.1,Prerequisites,3.0,http://r4ds.had.co.nz/pipes.html#prerequisites-11
18.2,Piping alternatives,2.0,http://r4ds.had.co.nz/pipes.html#piping-alternatives
18.2.1,Intermediate steps,3.0,http://r4ds.had.co.nz/pipes.html#intermediate-steps
18.2.2,Overwrite the original,3.0,http://r4ds.had.co.nz/pipes.html#overwrite-the-original
18.2.3,Function composition,3.0,http://r4ds.had.co.nz/pipes.html#function-composition
18.2.4,Use the pipe,3.0,http://r4ds.had.co.nz/pipes.html#use-the-pipe
18.3,When not to use the pipe,2.0,http://r4ds.had.co.nz/pipes.html#when-not-to-use-the-pipe
18.4,Other tools from magrittr,2.0,http://r4ds.had.co.nz/pipes.html#other-tools-from-magrittr
19,Functions,1.0,http://r4ds.had.co.nz/functions.html
19.1,Introduction,2.0,http://r4ds.had.co.nz/functions.html#introduction-12
19.1.1,Prerequisites,3.0,http://r4ds.had.co.nz/functions.html#prerequisites-12
19.2,When should you write a function?,2.0,http://r4ds.had.co.nz/functions.html#when-should-you-write-a-function
19.2.1,Practice,3.0,http://r4ds.had.co.nz/functions.html#practice-2
19.3,Functions are for humans and computers,2.0,http://r4ds.had.co.nz/functions.html#functions-are-for-humans-and-computers
19.3.1,Exercises,3.0,http://r4ds.had.co.nz/functions.html#exercises-48
19.4,Conditional execution,2.0,http://r4ds.had.co.nz/functions.html#conditional-execution
19.4.1,Conditions,3.0,http://r4ds.had.co.nz/functions.html#conditions
19.4.2,Multiple conditions,3.0,http://r4ds.had.co.nz/functions.html#multiple-conditions
19.4.3,Code style,3.0,http://r4ds.had.co.nz/functions.html#code-style
19.4.4,Exercises,3.0,http://r4ds.had.co.nz/functions.html#exercises-49
19.5,Function arguments,2.0,http://r4ds.had.co.nz/functions.html#function-arguments
19.5.1,Choosing names,3.0,http://r4ds.had.co.nz/functions.html#choosing-names
19.5.2,Checking values,3.0,http://r4ds.had.co.nz/functions.html#checking-values
19.5.3,Dot-dot-dot (…),3.0,http://r4ds.had.co.nz/functions.html#dot-dot-dot
19.5.4,Lazy evaluation,3.0,http://r4ds.had.co.nz/functions.html#lazy-evaluation
19.5.5,Exercises,3.0,http://r4ds.had.co.nz/functions.html#exercises-50
19.6,Return values,2.0,http://r4ds.had.co.nz/functions.html#return-values
19.6.1,Explicit return statements,3.0,http://r4ds.had.co.nz/functions.html#explicit-return-statements
19.6.2,Writing pipeable functions,3.0,http://r4ds.had.co.nz/functions.html#writing-pipeable-functions
19.7,Environment,2.0,http://r4ds.had.co.nz/functions.html#environment
20,Vectors,1.0,http://r4ds.had.co.nz/vectors.html
20.1,Introduction,2.0,http://r4ds.had.co.nz/vectors.html#introduction-13
20.1.1,Prerequisites,3.0,http://r4ds.had.co.nz/vectors.html#prerequisites-13
20.2,Vector basics,2.0,http://r4ds.had.co.nz/vectors.html#vector-basics
20.3,Important types of atomic vector,2.0,http://r4ds.had.co.nz/vectors.html#important-types-of-atomic-vector
20.3.1,Logical,3.0,http://r4ds.had.co.nz/vectors.html#logical
20.3.2,Numeric,3.0,http://r4ds.had.co.nz/vectors.html#numeric
20.3.3,Character,3.0,http://r4ds.had.co.nz/vectors.html#character
20.3.4,Missing values,3.0,http://r4ds.had.co.nz/vectors.html#missing-values-4
20.3.5,Exercises,3.0,http://r4ds.had.co.nz/vectors.html#exercises-51
20.4,Using atomic vectors,2.0,http://r4ds.had.co.nz/vectors.html#using-atomic-vectors
20.4.1,Coercion,3.0,http://r4ds.had.co.nz/vectors.html#coercion
20.4.2,Test functions,3.0,http://r4ds.had.co.nz/vectors.html#test-functions
20.4.3,Scalars and recycling rules,3.0,http://r4ds.had.co.nz/vectors.html#scalars-and-recycling-rules
20.4.4,Naming vectors,3.0,http://r4ds.had.co.nz/vectors.html#naming-vectors
20.4.5,Subsetting,3.0,http://r4ds.had.co.nz/vectors.html#vector-subsetting
20.4.6,Exercises,3.0,http://r4ds.had.co.nz/vectors.html#exercises-52
20.5,Recursive vectors (lists),2.0,http://r4ds.had.co.nz/vectors.html#lists
20.5.1,Visualising lists,3.0,http://r4ds.had.co.nz/vectors.html#visualising-lists
20.5.2,Subsetting,3.0,http://r4ds.had.co.nz/vectors.html#subsetting-1
20.5.3,Lists of condiments,3.0,http://r4ds.had.co.nz/vectors.html#lists-of-condiments
20.5.4,Exercises,3.0,http://r4ds.had.co.nz/vectors.html#exercises-53
20.6,Attributes,2.0,http://r4ds.had.co.nz/vectors.html#attributes
20.7,Augmented vectors,2.0,http://r4ds.had.co.nz/vectors.html#augmented-vectors
20.7.1,Factors,3.0,http://r4ds.had.co.nz/vectors.html#factors-1
20.7.2,Dates and date-times,3.0,http://r4ds.had.co.nz/vectors.html#dates-and-date-times
20.7.3,Tibbles,3.0,http://r4ds.had.co.nz/vectors.html#tibbles-1
20.7.4,Exercises,3.0,http://r4ds.had.co.nz/vectors.html#exercises-54
21,Iteration,1.0,http://r4ds.had.co.nz/iteration.html
21.1,Introduction,2.0,http://r4ds.had.co.nz/iteration.html#introduction-14
21.1.1,Prerequisites,3.0,http://r4ds.had.co.nz/iteration.html#prerequisites-14
21.2,For loops,2.0,http://r4ds.had.co.nz/iteration.html#for-loops
21.2.1,Exercises,3.0,http://r4ds.had.co.nz/iteration.html#exercises-55
21.3,For loop variations,2.0,http://r4ds.had.co.nz/iteration.html#for-loop-variations
21.3.1,Modifying an existing object,3.0,http://r4ds.had.co.nz/iteration.html#modifying-an-existing-object
21.3.2,Looping patterns,3.0,http://r4ds.had.co.nz/iteration.html#looping-patterns
21.3.3,Unknown output length,3.0,http://r4ds.had.co.nz/iteration.html#unknown-output-length
21.3.4,Unknown sequence length,3.0,http://r4ds.had.co.nz/iteration.html#unknown-sequence-length
21.3.5,Exercises,3.0,http://r4ds.had.co.nz/iteration.html#exercises-56
21.4,For loops vs. functionals,2.0,http://r4ds.had.co.nz/iteration.html#for-loops-vs.functionals
21.4.1,Exercises,3.0,http://r4ds.had.co.nz/iteration.html#exercises-57
21.5,The map functions,2.0,http://r4ds.had.co.nz/iteration.html#the-map-functions
21.5.1,Shortcuts,3.0,http://r4ds.had.co.nz/iteration.html#shortcuts
21.5.2,Base R,3.0,http://r4ds.had.co.nz/iteration.html#base-r
21.5.3,Exercises,3.0,http://r4ds.had.co.nz/iteration.html#exercises-58
21.6,Dealing with failure,2.0,http://r4ds.had.co.nz/iteration.html#dealing-with-failure
21.7,Mapping over multiple arguments,2.0,http://r4ds.had.co.nz/iteration.html#mapping-over-multiple-arguments
21.7.1,Invoking different functions,3.0,http://r4ds.had.co.nz/iteration.html#invoking-different-functions
21.8,Walk,2.0,http://r4ds.had.co.nz/iteration.html#walk
21.9,Other patterns of for loops,2.0,http://r4ds.had.co.nz/iteration.html#other-patterns-of-for-loops
21.9.1,Predicate functions,3.0,http://r4ds.had.co.nz/iteration.html#predicate-functions
21.9.2,Reduce and accumulate,3.0,http://r4ds.had.co.nz/iteration.html#reduce-and-accumulate
21.9.3,Exercises,3.0,http://r4ds.had.co.nz/iteration.html#exercises-59
22,Introduction,1.0,http://r4ds.had.co.nz/model-intro.html
22.1,Hypothesis generation vs. hypothesis confirmation,2.0,http://r4ds.had.co.nz/model-intro.html#hypothesis-generation-vs.hypothesis-confirmation
23,Model basics,1.0,http://r4ds.had.co.nz/model-basics.html
23.1,Introduction,2.0,http://r4ds.had.co.nz/model-basics.html#introduction-15
23.1.1,Prerequisites,3.0,http://r4ds.had.co.nz/model-basics.html#prerequisites-15
23.2,A simple model,2.0,http://r4ds.had.co.nz/model-basics.html#a-simple-model
23.2.1,Exercises,3.0,http://r4ds.had.co.nz/model-basics.html#exercises-60
23.3,Visualising models,2.0,http://r4ds.had.co.nz/model-basics.html#visualising-models
23.3.1,Predictions,3.0,http://r4ds.had.co.nz/model-basics.html#predictions
23.3.2,Residuals,3.0,http://r4ds.had.co.nz/model-basics.html#residuals
23.3.3,Exercises,3.0,http://r4ds.had.co.nz/model-basics.html#exercises-61
23.4,Formulas and model families,2.0,http://r4ds.had.co.nz/model-basics.html#formulas-and-model-families
23.4.1,Categorical variables,3.0,http://r4ds.had.co.nz/model-basics.html#categorical-variables
23.4.2,Interactions (continuous and categorical),3.0,http://r4ds.had.co.nz/model-basics.html#interactions-continuous-and-categorical
23.4.3,Interactions (two continuous),3.0,http://r4ds.had.co.nz/model-basics.html#interactions-two-continuous
23.4.4,Transformations,3.0,http://r4ds.had.co.nz/model-basics.html#transformations
23.4.5,Exercises,3.0,http://r4ds.had.co.nz/model-basics.html#exercises-62
23.5,Missing values,2.0,http://r4ds.had.co.nz/model-basics.html#missing-values-5
23.6,Other model families,2.0,http://r4ds.had.co.nz/model-basics.html#other-model-families
24,Model building,1.0,http://r4ds.had.co.nz/model-building.html
24.1,Introduction,2.0,http://r4ds.had.co.nz/model-building.html#introduction-16
24.1.1,Prerequisites,3.0,http://r4ds.had.co.nz/model-building.html#prerequisites-16
24.2,Why are low quality diamonds more expensive?,2.0,http://r4ds.had.co.nz/model-building.html#diamond-prices
24.2.1,Price and carat,3.0,http://r4ds.had.co.nz/model-building.html#price-and-carat
24.2.2,A more complicated model,3.0,http://r4ds.had.co.nz/model-building.html#a-more-complicated-model
24.2.3,Exercises,3.0,http://r4ds.had.co.nz/model-building.html#exercises-63
24.3,What affects the number of daily flights?,2.0,http://r4ds.had.co.nz/model-building.html#what-affects-the-number-of-daily-flights
24.3.1,Day of week,3.0,http://r4ds.had.co.nz/model-building.html#day-of-week
24.3.2,Seasonal Saturday effect,3.0,http://r4ds.had.co.nz/model-building.html#seasonal-saturday-effect
24.3.3,Computed variables,3.0,http://r4ds.had.co.nz/model-building.html#computed-variables
24.3.4,Time of year: an alternative approach,3.0,http://r4ds.had.co.nz/model-building.html#time-of-year-an-alternative-approach
24.3.5,Exercises,3.0,http://r4ds.had.co.nz/model-building.html#exercises-64
24.4,Learning more about models,2.0,http://r4ds.had.co.nz/model-building.html#learning-more-about-models
25,Many models,1.0,http://r4ds.had.co.nz/many-models.html
25.1,Introduction,2.0,http://r4ds.had.co.nz/many-models.html#introduction-17
25.1.1,Prerequisites,3.0,http://r4ds.had.co.nz/many-models.html#prerequisites-17
25.2,gapminder,2.0,http://r4ds.had.co.nz/many-models.html#gapminder
25.2.1,Nested data,3.0,http://r4ds.had.co.nz/many-models.html#nested-data
25.2.2,List-columns,3.0,http://r4ds.had.co.nz/many-models.html#list-columns
25.2.3,Unnesting,3.0,http://r4ds.had.co.nz/many-models.html#unnesting
25.2.4,Model quality,3.0,http://r4ds.had.co.nz/many-models.html#model-quality
25.2.5,Exercises,3.0,http://r4ds.had.co.nz/many-models.html#exercises-65
25.3,List-columns,2.0,http://r4ds.had.co.nz/many-models.html#list-columns-1
25.4,Creating list-columns,2.0,http://r4ds.had.co.nz/many-models.html#creating-list-columns
25.4.1,With nesting,3.0,http://r4ds.had.co.nz/many-models.html#with-nesting
25.4.2,From vectorised functions,3.0,http://r4ds.had.co.nz/many-models.html#from-vectorised-functions
25.4.3,From multivalued summaries,3.0,http://r4ds.had.co.nz/many-models.html#from-multivalued-summaries
25.4.4,From a named list,3.0,http://r4ds.had.co.nz/many-models.html#from-a-named-list
25.4.5,Exercises,3.0,http://r4ds.had.co.nz/many-models.html#exercises-66
25.5,Simplifying list-columns,2.0,http://r4ds.had.co.nz/many-models.html#simplifying-list-columns
25.5.1,List to vector,3.0,http://r4ds.had.co.nz/many-models.html#list-to-vector
25.5.2,Unnesting,3.0,http://r4ds.had.co.nz/many-models.html#unnesting-1
25.5.3,Exercises,3.0,http://r4ds.had.co.nz/many-models.html#exercises-67
25.6,Making tidy data with broom,2.0,http://r4ds.had.co.nz/many-models.html#making-tidy-data-with-broom
26,Introduction,1.0,http://r4ds.had.co.nz/communicate-intro.html
27,R Markdown,1.0,http://r4ds.had.co.nz/r-markdown.html
27.1,Introduction,2.0,http://r4ds.had.co.nz/r-markdown.html#introduction-18
27.1.1,Prerequisites,3.0,http://r4ds.had.co.nz/r-markdown.html#prerequisites-18
27.2,R Markdown basics,2.0,http://r4ds.had.co.nz/r-markdown.html#r-markdown-basics
27.2.1,Exercises,3.0,http://r4ds.had.co.nz/r-markdown.html#exercises-68
27.3,Text formatting with Markdown,2.0,http://r4ds.had.co.nz/r-markdown.html#text-formatting-with-markdown
27.3.1,Exercises,3.0,http://r4ds.had.co.nz/r-markdown.html#exercises-69
27.4,Code chunks,2.0,http://r4ds.had.co.nz/r-markdown.html#code-chunks
27.4.1,Chunk name,3.0,http://r4ds.had.co.nz/r-markdown.html#chunk-name
27.4.2,Chunk options,3.0,http://r4ds.had.co.nz/r-markdown.html#chunk-options
27.4.3,Table,3.0,http://r4ds.had.co.nz/r-markdown.html#table
27.4.4,Caching,3.0,http://r4ds.had.co.nz/r-markdown.html#caching
27.4.5,Global options,3.0,http://r4ds.had.co.nz/r-markdown.html#global-options
27.4.6,Inline code,3.0,http://r4ds.had.co.nz/r-markdown.html#inline-code
27.4.7,Exercises,3.0,http://r4ds.had.co.nz/r-markdown.html#exercises-70
27.5,Troubleshooting,2.0,http://r4ds.had.co.nz/r-markdown.html#troubleshooting
27.6,YAML header,2.0,http://r4ds.had.co.nz/r-markdown.html#yaml-header
27.6.1,Parameters,3.0,http://r4ds.had.co.nz/r-markdown.html#parameters
27.6.2,Bibliographies and Citations,3.0,http://r4ds.had.co.nz/r-markdown.html#bibliographies-and-citations
27.7,Learning more,2.0,http://r4ds.had.co.nz/r-markdown.html#learning-more-2
28,Graphics for communication,1.0,http://r4ds.had.co.nz/graphics-for-communication.html
28.1,Introduction,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#introduction-19
28.1.1,Prerequisites,3.0,http://r4ds.had.co.nz/graphics-for-communication.html#prerequisites-19
28.2,Label,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#label
28.2.1,Exercises,3.0,http://r4ds.had.co.nz/graphics-for-communication.html#exercises-71
28.3,Annotations,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#annotations
28.3.1,Exercises,3.0,http://r4ds.had.co.nz/graphics-for-communication.html#exercises-72
28.4,Scales,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#scales
28.4.1,Axis ticks and legend keys,3.0,http://r4ds.had.co.nz/graphics-for-communication.html#axis-ticks-and-legend-keys
28.4.2,Legend layout,3.0,http://r4ds.had.co.nz/graphics-for-communication.html#legend-layout
28.4.3,Replacing a scale,3.0,http://r4ds.had.co.nz/graphics-for-communication.html#replacing-a-scale
28.4.4,Exercises,3.0,http://r4ds.had.co.nz/graphics-for-communication.html#exercises-73
28.5,Zooming,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#zooming
28.6,Themes,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#themes
28.7,Saving your plots,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#saving-your-plots
28.7.1,Figure sizing,3.0,http://r4ds.had.co.nz/graphics-for-communication.html#figure-sizing
28.7.2,Other important options,3.0,http://r4ds.had.co.nz/graphics-for-communication.html#other-important-options
28.8,Learning more,2.0,http://r4ds.had.co.nz/graphics-for-communication.html#learning-more-3
29,R Markdown formats,1.0,http://r4ds.had.co.nz/r-markdown-formats.html
29.1,Introduction,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#introduction-20
29.2,Output options,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#output-options
29.3,Documents,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#documents
29.4,Notebooks,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#notebooks
29.5,Presentations,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#presentations
29.6,Dashboards,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#dashboards
29.7,Interactivity,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#interactivity
29.7.1,htmlwidgets,3.0,http://r4ds.had.co.nz/r-markdown-formats.html#htmlwidgets
29.7.2,Shiny,3.0,http://r4ds.had.co.nz/r-markdown-formats.html#shiny
29.8,Websites,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#websites
29.9,Other formats,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#other-formats
29.10,Learning more,2.0,http://r4ds.had.co.nz/r-markdown-formats.html#learning-more-4
30,R Markdown workflow,1.0,http://r4ds.had.co.nz/r-markdown-workflow.html
